# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cycles:P'
# Event count (approx.): 3030505634070
#
# Overhead  Command        Shared Object              Symbol                                     
# ........  .............  .........................  ...........................................
#
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000730a6
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073ba8
     0.01%  my_executable  libm.so.6                  [.] 0x000000000007338f
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073db4
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073ca2
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073218
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000730ee
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073bf3
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073908
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000735fc
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073bac
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000730ba
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073bb1
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073903
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073bd6
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000730b8
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073df7
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c76
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073296
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073d8f
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c83
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073d74
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000738f5
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073df2
     0.01%  my_executable  libm.so.6                  [.] 0x000000000007357d
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c6d
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073caa
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073bd2
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000738f6
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000732f9
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073da7
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c54
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c50
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000735e3
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c72
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073dfd
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073285
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000735b3
     0.01%  my_executable  libm.so.6                  [.] 0x000000000007336c
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000730c6
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073cca
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073340
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000732c8
     0.01%  my_executable  libstencil.so              [.] sin@plt
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073cd8
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073cd0
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073d98
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000735a2
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073607
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007391b
     0.00%  my_executable  [kernel.vmlinux]           [k] update_load_avg
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007339e
     0.00%  my_executable  [kernel.vmlinux]           [k] _compound_head
     0.00%  my_executable  [kernel.vmlinux]           [k] update_curr
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d9f
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735c4
     0.00%  my_executable  [kernel.vmlinux]           [k] _raw_spin_lock_irqsave
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073ca6
     0.00%  my_executable  [kernel.vmlinux]           [k] native_write_msr
     0.00%  my_executable  [kernel.vmlinux]           [k] ktime_get_update_offsets_now
     0.00%  my_executable  [kernel.vmlinux]           [k] call_function_single_prep_ipi
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c2f
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007327c
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c19
     0.00%  my_executable  [kernel.vmlinux]           [k] native_irq_return_iret
     0.00%  my_executable  [kernel.vmlinux]           [k] __irqentry_text_end
     0.00%  my_executable  [kernel.vmlinux]           [k] task_mm_cid_work
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007334d
     0.00%  my_executable  [kernel.vmlinux]           [k] __update_load_avg_cfs_rq
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073f74
     0.00%  my_executable  [kernel.vmlinux]           [k] hrtimer_active
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073602
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007329f
     0.00%  my_executable  [kernel.vmlinux]           [k] psi_account_irqtime
     0.00%  my_executable  [kernel.vmlinux]           [k] task_tick_fair
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007329b
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073394
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d86
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d95
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073584
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d58
     0.00%  my_executable  [kernel.vmlinux]           [k] error_entry
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000730a5
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d9c
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007360d
     0.00%  my_executable  [kernel.vmlinux]           [k] idle_cpu
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735af
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073327
     0.00%  my_executable  [kernel.vmlinux]           [k] __update_load_avg_se
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073ce5
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007394b
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073374
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c35
     0.00%  my_executable  [kernel.vmlinux]           [k] account_user_time
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073322
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733b3
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c63
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c3d
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735a8
     0.00%  my_executable  [kernel.vmlinux]           [k] __rmqueue_pcplist
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c60
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073273
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000738fa
     0.00%  my_executable  [kernel.vmlinux]           [k] timekeeping_advance
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073f8e
     0.00%  my_executable  [kernel.vmlinux]           [k] tick_do_update_jiffies64
     0.00%  my_executable  [kernel.vmlinux]           [k] notifier_call_chain
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d54
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073fa8
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733a6
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c66
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c5d
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073918
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073bc6
     0.00%  my_executable  [kernel.vmlinux]           [k] free_tail_page_prepare
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d8a
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c58
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073337
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007310f
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c45
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073313
     0.00%  my_executable  [kernel.vmlinux]           [k] _raw_spin_trylock
     0.00%  my_executable  [kernel.vmlinux]           [k] hrtimer_interrupt
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073be4
     0.00%  my_executable  [kernel.vmlinux]           [k] update_cfs_group
     0.00%  my_executable  [kernel.vmlinux]           [k] _raw_spin_lock
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735b7
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073fad
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073de2
     0.00%  my_executable  [kernel.vmlinux]           [k] mas_walk
     0.00%  my_executable  [kernel.vmlinux]           [k] sugov_update_single_freq
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c6a
     0.00%  my_executable  [kernel.vmlinux]           [k] native_read_msr
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073330
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073bff
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007392d
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c4c
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073334
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073596
     0.00%  my_executable  [kernel.vmlinux]           [k] update_curr_se
     0.00%  my_executable  [kernel.vmlinux]           [k] arch_scale_freq_tick
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d7e
     0.00%  my_executable  libgomp.so.1.0.0           [.] gomp_iter_ull_dynamic_next
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073730
     0.00%  my_executable  [kernel.vmlinux]           [k] native_sched_clock
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073370
     0.00%  my_executable  [kernel.vmlinux]           [k] trigger_load_balance
     0.00%  my_executable  [kernel.vmlinux]           [k] irq_enter_rcu
     0.00%  my_executable  [kernel.vmlinux]           [k] get_page_from_freelist
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732e7
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007333c
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732fd
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073768
     0.00%  my_executable  [kernel.vmlinux]           [k] rcu_sched_clock_irq
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c99
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000738f0
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073f97
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073fb2
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073dca
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073568
     0.00%  my_executable  [kernel.vmlinux]           [k] free_unref_page_prepare
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007373c
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073910
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073292
     0.00%  my_executable  [kernel.vmlinux]           [k] sync_regs
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073f85
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007331a
     0.00%  my_executable  [kernel.vmlinux]           [k] prep_compound_page
     0.00%  my_executable  [kernel.vmlinux]           [k] read_tsc
     0.00%  my_executable  [kernel.vmlinux]           [k] __accumulate_pelt_segments
     0.00%  my_executable  [kernel.vmlinux]           [k] effective_cpu_util
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735a5
     0.00%  my_executable  [kernel.vmlinux]           [k] update_irq_load_avg
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007330b
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073cdf
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d6d
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007376d
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073cba
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073be8
     0.00%  my_executable  [kernel.vmlinux]           [k] cgroup_rstat_updated
     0.00%  my_executable  [kernel.vmlinux]           [k] update_fast_timekeeper
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073757
     0.00%  my_executable  [kernel.vmlinux]           [k] ktime_get
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073262
     0.00%  my_executable  [kernel.vmlinux]           [k] update_vsyscall
     0.00%  my_executable  [kernel.vmlinux]           [k] __hrtimer_run_queues
     0.00%  my_executable  [kvm]                      [k] 0x00000000000239a9
     0.00%  my_executable  [kernel.vmlinux]           [k] cpufreq_this_cpu_can_update
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073404
     0.00%  my_executable  [kernel.vmlinux]           [k] x86_pmu_disable
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073592
     0.00%  my_executable  [kernel.vmlinux]           [k] update_min_vruntime
     0.00%  my_executable  [kernel.vmlinux]           [k] scheduler_tick
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d92
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073772
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007347c
     0.00%  my_executable  [kernel.vmlinux]           [k] timekeeping_update
     0.00%  my_executable  [kernel.vmlinux]           [k] cpuacct_account_field
     0.00%  my_executable  [kernel.vmlinux]           [k] __count_memcg_events
     0.00%  my_executable  [kernel.vmlinux]           [k] __cgroup_account_cputime_field
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732b1
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007374e
     0.00%  my_executable  [kernel.vmlinux]           [k] irqtime_account_process_tick
     0.00%  my_executable  [kernel.vmlinux]           [k] irqtime_account_irq
     0.00%  my_executable  [kvm]                      [k] 0x00000000000239a0
     0.00%  my_executable  [kernel.vmlinux]           [k] sched_clock_cpu
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073944
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d7a
     0.00%  my_executable  [kernel.vmlinux]           [k] update_process_times
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007331e
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007359a
     0.00%  my_executable  [kernel.vmlinux]           [k] __handle_mm_fault
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b78
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007332a
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000730b3
     0.00%  my_executable  [kernel.vmlinux]           [k] update_rq_clock
     0.00%  my_executable  [kernel.vmlinux]           [k] native_apic_msr_eoi
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d50
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073ced
     0.00%  my_executable  [kernel.vmlinux]           [k] tick_program_event
     0.00%  my_executable  [kernel.vmlinux]           [k] native_queued_spin_lock_slowpath
     0.00%  my_executable  [kernel.vmlinux]           [k] memset_orig
     0.00%  my_executable  [kernel.vmlinux]           [k] __x86_indirect_thunk_array
     0.00%  my_executable  [kernel.vmlinux]           [k] __sysvec_apic_timer_interrupt
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073cd4
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733a2
     0.00%  my_executable  [kernel.vmlinux]           [k] tick_nohz_highres_handler
     0.00%  my_executable  [kernel.vmlinux]           [k] record_times
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073363
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007313d
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073564
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735da
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073745
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733ef
     0.00%  my_executable  [kernel.vmlinux]           [k] update_sd_lb_stats.constprop.0
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073303
     0.00%  my_executable  [kernel.vmlinux]           [k] acct_account_cputime
     0.00%  my_executable  [kernel.vmlinux]           [k] _find_next_bit
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735f2
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733d7
     0.00%  my_executable  [kernel.vmlinux]           [k] sched_clock
     0.00%  my_executable  [kernel.vmlinux]           [k] vma_migratable
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733ad
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c7f
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c0d
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073245
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073ba0
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000738f4
     0.00%  my_executable  [kernel.vmlinux]           [k] error_return
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073444
     0.00%  my_executable  [kernel.vmlinux]           [k] hrtimer_forward
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073463
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073416
     0.00%  my_executable  [kernel.vmlinux]           [k] rb_next
     0.00%  my_executable  [kernel.vmlinux]           [k] handle_mm_fault
     0.00%  my_executable  [kernel.vmlinux]           [k] irqentry_exit_to_user_mode
     0.00%  my_executable  [kernel.vmlinux]           [k] task_numa_fault
     0.00%  my_executable  [kernel.vmlinux]           [k] clear_huge_page
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007316f
     0.00%  my_executable  [kernel.vmlinux]           [k] reweight_entity
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073124
     0.00%  my_executable  libgomp.so.1.0.0           [.] GOMP_loop_ull_nonmonotonic_dynamic_next
     0.00%  my_executable  [kernel.vmlinux]           [k] cpuacct_charge
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731f2
     0.00%  my_executable  [kernel.vmlinux]           [k] lapic_next_event
     0.00%  my_executable  [kernel.vmlinux]           [k] nohz_balance_exit_idle
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073384
     0.00%  my_executable  [kernel.vmlinux]           [k] down_read_trylock
     0.00%  my_executable  [kernel.vmlinux]           [k] tick_sched_do_timer
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007348f
     0.00%  my_executable  [kernel.vmlinux]           [k] hrtimer_update_next_event
     0.00%  my_executable  [kernel.vmlinux]           [k] asm_sysvec_apic_timer_interrupt
     0.00%  my_executable  [igb]                      [k] 0x0000000000001d9b
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073425
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732cc
     0.00%  my_executable  [kernel.vmlinux]           [k] __radix_tree_lookup
     0.00%  my_executable  [kernel.vmlinux]           [k] clockevents_program_event
     0.00%  my_executable  [kernel.vmlinux]           [k] sugov_get_util
     0.00%  my_executable  [kernel.vmlinux]           [k] run_posix_cpu_timers
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733bb
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731aa
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073123
     0.00%  my_executable  [kernel.vmlinux]           [k] task_tick_mm_cid
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732ff
     0.00%  my_executable  [kernel.vmlinux]           [k] cpu_util_cfs_boost
     0.00%  my_executable  [kernel.vmlinux]           [k] sched_core_idle_cpu
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073db0
     0.00%  my_executable  [kernel.vmlinux]           [k] timerqueue_del
     0.00%  my_executable  [kernel.vmlinux]           [k] sysvec_apic_timer_interrupt
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007311e
     0.00%  my_executable  [kernel.vmlinux]           [k] load_balance
     0.00%  my_executable  [kernel.vmlinux]           [k] task_work_add
     0.00%  my_executable  [kernel.vmlinux]           [k] __hrtimer_next_event_base
     0.00%  my_executable  [kernel.vmlinux]           [k] native_apic_msr_write
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073190
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073437
     0.00%  my_executable  [kernel.vmlinux]           [k] lock_vma_under_rcu
     0.00%  my_executable  [kernel.vmlinux]           [k] __schedule
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732ed
     0.00%  my_executable  [kernel.vmlinux]           [k] lru_gen_del_folio
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073433
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731da
     0.00%  my_executable  [kernel.vmlinux]           [k] perf_event_task_tick
     0.00%  my_executable  [kernel.vmlinux]           [k] kick_pool
     0.00%  my_executable  [kernel.vmlinux]           [k] try_charge_memcg
     0.00%  my_executable  [kernel.vmlinux]           [k] exc_page_fault
     0.00%  my_executable  [kernel.vmlinux]           [k] __get_user_8
     0.00%  my_executable  [kernel.vmlinux]           [k] update_blocked_averages
     0.00%  my_executable  [kernel.vmlinux]           [k] do_huge_pmd_anonymous_page
     0.00%  my_executable  [kernel.vmlinux]           [k] llist_add_batch
     0.00%  my_executable  [kernel.vmlinux]           [k] _raw_spin_unlock
     0.00%  my_executable  libz.so.1.3.1              [.] gzgets
     0.00%  my_executable  [kernel.vmlinux]           [k] tick_sched_handle
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731bb
     0.00%  my_executable  [kernel.vmlinux]           [k] pci_conf1_read
     0.00%  my_executable  [kernel.vmlinux]           [k] __calc_delta.constprop.0
     0.00%  my_executable  [kernel.vmlinux]           [k] node_is_toptier
     0.00%  my_executable  [kernel.vmlinux]           [k] sched_mm_cid_remote_clear
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b98
     0.00%  my_executable  [kernel.vmlinux]           [k] calc_global_load
     0.00%  my_executable  [kernel.vmlinux]           [k] entry_SYSCALL_64
     0.00%  my_executable  [kernel.vmlinux]           [k] get_next_freq.constprop.0
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073211
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073205
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073135
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007332d
     0.00%  my_executable  [kernel.vmlinux]           [k] account_process_tick
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073349
     0.00%  my_executable  [kernel.vmlinux]           [k] irqentry_enter
     0.00%  my_executable  [kernel.vmlinux]           [k] __do_softirq
     0.00%  my_executable  [kernel.vmlinux]           [k] avg_vruntime
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731e2
     0.00%  my_executable  [kernel.vmlinux]           [k] do_huge_pmd_numa_page
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734a1
     0.00%  my_executable  [kernel.vmlinux]           [k] __rcu_read_lock
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731ae
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007342f
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073181
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a7b
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073482
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073495
     0.00%  my_executable  [kernel.vmlinux]           [k] irq_work_tick
     0.00%  my_executable  [kernel.vmlinux]           [k] _find_next_and_bit
     0.00%  my_executable  [kernel.vmlinux]           [k] __rcu_read_unlock
     0.00%  my_executable  [kernel.vmlinux]           [k] __queue_work.part.0
     0.00%  my_executable  [kernel.vmlinux]           [k] __irq_exit_rcu
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073153
     0.00%  my_executable  [kernel.vmlinux]           [k] delayed_work_timer_fn
     0.00%  my_executable  [kernel.vmlinux]           [k] ntp_tick_length
     0.00%  my_executable  [kernel.vmlinux]           [k] irq_work_run_list
     0.00%  my_executable  [kernel.vmlinux]           [k] rcu_segcblist_ready_cbs
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073afb
     0.00%  my_executable  [kernel.vmlinux]           [k] change_protection
     0.00%  my_executable  [kernel.vmlinux]           [k] syscall_return_via_sysret
     0.00%  my_executable  [kernel.vmlinux]           [k] rebalance_domains
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007319f
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732b5
     0.00%  my_executable  [kernel.vmlinux]           [k] __mod_memcg_lruvec_state
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_copy
     0.00%  my_executable  [kernel.vmlinux]           [k] vm_normal_page_pmd
